K,silhouette_score,min_cluster_size,max_cluster_size,mean_cluster_size
4,0.02468477189540863,3968,5487,5000.0
5,0.024827972054481506,3608,4908,4000.0
6,0.022214269265532494,2953,3935,3333.3333333333335
7,0.020289519801735878,2583,3422,2857.1428571428573
8,0.021175839006900787,2082,3201,2500.0
9,0.019945580512285233,1453,2648,2222.222222222222
10,0.017420757561922073,1224,2415,2000.0
