K,topic,rank,term,weight
8,0,1,list,1.467172518933959
8,0,2,print,0.9937317163864514
8,0,3,string,0.9253545418216091
8,0,4,python,0.6702776807153269
8,0,5,function,0.6393857578230271
8,0,6,number,0.623232341048895
8,0,7,value,0.6095248252773239
8,0,8,input,0.5942237182623495
8,0,9,like,0.5742314922322155
8,0,10,want,0.5337080620322163
8,0,11,range,0.5295660463528168
8,0,12,return,0.5246338357967025
8,0,13,code,0.5170598598702878
8,0,14,len,0.502326181646902
8,0,15,dictionary,0.4786718531710843
8,1,1,py line,0.8664153224205146
8,1,2,lib,0.8302456871114817
8,1,3,py,0.8237366958477962
8,1,4,line,0.7546370863988923
8,1,5,packages,0.7319186690489576
8,1,6,file,0.5917442042022623
8,1,7,python2,0.5693486717350477
8,1,8,site packages,0.5690864333180735
8,1,9,lib python2,0.5406903033953053
8,1,10,site,0.5259268626263012
8,1,11,usr,0.46405030985791984
8,1,12,traceback,0.4387350370118627
8,1,13,error,0.41135840050835704
8,1,14,recent,0.410952793827971
8,1,15,traceback recent,0.4108309218371462
8,2,1,models,1.1841447647589962
8,2,2,model,0.9482851038783067
8,2,3,django,0.818057752775309
8,2,4,charfield,0.5579614122291358
8,2,5,models model,0.5508678803171911
8,2,6,class,0.5341942792636665
8,2,7,max_length,0.5259351005255726
8,2,8,models charfield,0.5173454894641123
8,2,9,charfield max_length,0.47189532461496614
8,2,10,foreignkey,0.40339211131832786
8,2,11,true,0.3769418512456509
8,2,12,models foreignkey,0.3692118744309885
8,2,13,objects,0.3691642598514446
8,2,14,field,0.36038477242381134
8,2,15,user,0.3514287397046397
8,3,1,self,1.5449362037205303
8,3,2,def,0.8774811292854001
8,3,3,class,0.8449382928082159
8,3,4,__init__,0.6328089694458983
8,3,5,__init__ self,0.6196478816946706
8,3,6,def __init__,0.5540137060989617
8,3,7,self self,0.4900059057871497
8,3,8,return,0.3815447629265051
8,3,9,object,0.38040565952093547
8,3,10,method,0.24625963150269126
8,3,11,print,0.23266071468235
8,3,12,import,0.21242189925689775
8,3,13,parent,0.20744318620383817
8,3,14,object def,0.20027609554942108
8,3,15,button,0.2002420061688279
8,4,1,dataframe,1.0259164870641229
8,4,2,pandas,1.0091345924695851
8,4,3,df,0.8461878028570166
8,4,4,column,0.7574213080059633
8,4,5,columns,0.6661019062560974
8,4,6,pd,0.6547295108554492
8,4,7,data,0.5537961893192661
8,4,8,row,0.5033922795520117
8,4,9,00,0.49709565364464675
8,4,10,csv,0.4562288034488882
8,4,11,index,0.3997294290705771
8,4,12,12,0.3971728999625873
8,4,13,10,0.39665886497212804
8,4,14,01,0.3860455602797425
8,4,15,rows,0.38495799211967807
8,5,1,np,0.979369636684525
8,5,2,array,0.930631583821869
8,5,3,numpy,0.85608901508173
8,5,4,plt,0.5992612668172254
8,5,5,plot,0.5342160250932116
8,5,6,matplotlib,0.5239118603289395
8,5,7,import,0.35068535200438716
8,5,8,import numpy,0.3395213922366175
8,5,9,numpy np,0.31625003226284015
8,5,10,image,0.30106546038292303
8,5,11,np array,0.2991593247905306
8,5,12,numpy array,0.28005586032132346
8,5,13,axis,0.2609584166408095
8,5,14,data,0.2539164963467402
8,5,15,shape,0.25257438263639764
8,6,1,python,0.8957411674865
8,6,2,file,0.7145399603948582
8,6,3,script,0.6283212148882005
8,6,4,os,0.5038515634150315
8,6,5,files,0.49195344816292996
8,6,6,run,0.49081753205382744
8,6,7,using,0.4882681605150348
8,6,8,path,0.4330135544681637
8,6,9,import,0.41616775957494617
8,6,10,command,0.3812540786649572
8,6,11,use,0.3637702181040093
8,6,12,open,0.3520014873912754
8,6,13,module,0.33984799381473324
8,6,14,directory,0.327895264238381
8,6,15,running,0.3271157233712288
8,7,1,url,1.1322621383461005
8,7,2,request,0.8783173072495635
8,7,3,html,0.6649046741067728
8,7,4,page,0.5923130423451849
8,7,5,post,0.5025247052241757
8,7,6,data,0.47712823326836057
8,7,7,response,0.4741419337838588
8,7,8,requests,0.4424168001209286
8,7,9,app,0.40201080973270126
8,7,10,django,0.3964101337969801
8,7,11,server,0.3836590053574818
8,7,12,form,0.37896893837962314
8,7,13,content,0.3738601081075837
8,7,14,json,0.3651702797384213
8,7,15,api,0.35688860515120774
