K,topic,rank,term,weight
2,0,1,python,0.7222592389739848
2,0,2,print,0.6643012319608749
2,0,3,def,0.6480701585451638
2,0,4,like,0.6245580251705688
2,0,5,self,0.6093461168758374
2,0,6,code,0.5766123825202226
2,0,7,list,0.5745081668008011
2,0,8,data,0.5693727180666943
2,0,9,want,0.5386951131973566
2,0,10,using,0.5263389276972023
2,0,11,return,0.5225063008188903
2,0,12,class,0.5189899972509118
2,0,13,way,0.48254079266082067
2,0,14,function,0.4777805953918422
2,0,15,value,0.43336658715499105
2,1,1,py,0.9079440283450916
2,1,2,file,0.7575318721108991
2,1,3,py line,0.6871773170567457
2,1,4,line,0.6843570611221401
2,1,5,lib,0.6562620733666359
2,1,6,packages,0.5820965859758619
2,1,7,error,0.4901045928187628
2,1,8,site,0.44735333918847653
2,1,9,site packages,0.43967910295577056
2,1,10,python2,0.4378086636516882
2,1,11,import,0.4334267996448288
2,1,12,lib python2,0.40085558697815976
2,1,13,usr,0.3943110012131793
2,1,14,python,0.3786837136250484
2,1,15,traceback,0.360479431768064
