Id,dominant_topic,topic_weight
28086865,1,0.9393280224886202
39663117,1,0.9999999999734062
37259168,3,0.5247646351513845
22412231,1,0.3910894653494421
25090735,2,0.8393671880821895
25279059,0,0.8650342313769853
22719224,3,0.47036616046246627
7549662,1,0.5800771531885476
28233633,2,0.4125902921589394
40091963,1,0.950210621082796
1366274,3,0.5935937083081627
1751959,3,0.484583782579836
11596423,2,0.5323106420305145
23042962,0,0.6508820404228435
4638806,1,0.5755292257892756
4585692,3,0.4288285652467237
39397720,2,0.3925267553858876
35880247,0,0.9479667317117095
32969757,2,0.8987507115943043
2323080,2,0.46605739613626307
32535816,1,0.5442455886849785
20383151,1,0.5501915818432889
3610071,1,0.607659141213599
13596408,0,0.8027934115185341
39970303,1,0.5527129654401053
38164587,0,0.35666064459682756
19094441,1,0.7991496647099297
26077231,3,0.5006306690573815
39066567,1,0.5263796102202796
27462337,2,0.6436069203433612
22865573,1,0.3835531908708431
22739592,1,0.48760192968941574
23785155,0,0.41892284637795685
39231607,0,0.6994323853296877
39518350,2,0.6799357832899381
25571861,1,0.3736790938107611
31614866,1,0.9999999999861118
15745418,1,0.40552569104675684
15900883,2,0.8148821384915721
32023183,0,0.7668577191351911
39549494,0,0.9999999999827685
38895185,2,0.8816001497471914
35792905,0,0.9119886954346362
17717282,1,0.3963620741356724
11040626,1,0.9999999999789139
36747114,2,0.42207897246470566
3695202,3,0.4839165771223342
29552575,0,0.4386375394350044
21058514,0,0.48885066364209545
33769143,1,0.41012534460887123
6239042,2,0.536058911867356
13144158,0,0.9999999999832758
34278866,3,0.7400991197816594
26080958,0,0.7908533980699793
5834054,0,0.9389805175281547
25705544,1,0.8528962105007278
27542341,1,0.6491240637652188
38316294,3,0.7164533786695466
20110006,1,0.7484559760052886
33127008,1,0.5078905797965981
18596189,1,0.7919764353016204
2483840,0,0.3645420136225821
20803932,2,0.49680201172672384
4848965,1,0.48335925226365545
27056575,1,0.9233951511588684
8701419,1,0.6337910873031732
4690155,0,0.9162822418969756
26673267,2,0.9999999999909172
32463870,1,0.6976944361334472
36908926,0,0.9022028519683336
19472499,1,0.5681580301054718
38780122,0,0.9999999999786852
37015876,3,0.4128833313961921
12030085,0,0.6106615521782663
29859761,0,0.49584529675111383
33753832,0,0.5683328042383521
4676973,0,0.887353376100067
39111903,1,0.8214161612448349
27177212,2,0.6267293967884823
22108306,1,0.7615431556417268
38792077,2,0.6222123591789902
32589767,0,0.5871753076692824
3402694,0,0.5966873226104811
35942081,0,0.5838492128476594
26753268,1,0.9750447436716236
26487648,2,0.5600081807644007
19338748,1,0.5286873800958489
19111047,0,0.9999999999778515
13980656,1,0.6260755059088532
30849351,1,0.9999999999776067
33655933,2,0.5385010314628718
13163895,0,0.46714680724439084
13356680,1,0.7365841126053656
16991754,3,0.7951816727436039
18380766,1,0.6157446070976093
5522524,3,0.6877786840618136
39521924,2,0.7121740975614859
36795424,0,0.5586436238791692
19665125,1,0.9263715121936467
33792478,1,0.600533484270549
4054254,0,0.6306264641776195
25109001,0,0.39097461567845837
2631311,0,0.7414123508690523
843277,1,0.8821563554036994
38879470,1,0.5487470243280682
32906669,0,0.9834058756656756
23873048,1,0.5822285302789161
31350589,3,0.3824229262830515
37730751,1,0.6343037737041436
11816236,3,0.6179006041675326
11376381,1,0.611405350428231
36053881,2,0.43000007537883156
13336798,0,0.6457577114360644
20298058,0,0.7633255835728994
3068408,1,0.3598617289858044
21465348,1,0.9999999999754038
37066402,2,0.9339331918775714
34394344,2,0.8756438525727638
36447378,0,0.3718655147660468
5075335,0,0.721056151906705
36507334,2,0.5687470331189332
25709818,1,0.8662456135870865
35046142,0,0.6657467503438109
38591938,1,0.9999999999853814
37390827,0,0.9999999999834551
32683412,1,0.6147112637515302
34880137,1,0.45843204526833653
27434689,1,0.6437951176950774
34708972,2,0.36842383128457146
7765113,2,0.8323839179233853
37864425,3,0.865342799925589
6107905,0,0.9972929697264478
39978375,1,0.40642459740017334
4968210,3,0.4210850720841288
25462305,1,0.9859065055801763
35641116,1,0.8358852765852303
36816386,3,0.9105768052811888
34683400,1,0.9999999999839598
36820171,2,0.6102448387674501
26005274,1,0.8017300828329915
38477881,0,0.9223685557627745
10639333,1,0.6047914569414968
25387745,0,0.5037771806923196
40113343,1,0.7195257723952543
29080279,0,0.5793351388159133
26615756,2,0.5405256060498539
6655724,1,0.555784501134482
38876562,0,0.4773960580803667
33592626,0,0.6092827877806574
29144956,3,0.8237238290799613
23970227,0,0.42104090852758913
5531249,1,0.6100829938111602
35224978,0,0.41389209098398916
6650906,1,0.6715338477851661
24037441,1,0.3988968198272595
12311196,0,0.4580063176402965
1056675,2,0.8776931471990452
24020720,1,0.5726470996674551
14319771,0,0.49723318720570403
5289680,2,0.9529803042730183
19919987,3,0.5717777391900651
22127346,1,0.37169059858219594
22983523,1,0.9999999999712141
10587826,1,0.540870410443041
29581718,1,0.7341489163572701
21897420,0,0.5460580853106128
24419845,0,0.7021576007188973
28624489,2,0.8503403984672256
1693945,0,0.5732084627280735
17124199,0,0.6914388146310179
21397455,1,0.6110238525661762
16494824,2,0.6166688312642483
21436163,1,0.340651956165201
18896682,2,0.6202594340958413
17621531,0,0.7089021545055976
36534795,1,0.5583936889749236
34381588,1,0.9714388659511141
31538738,2,0.5141138507773926
36813851,1,0.7622966746051222
17173743,1,0.999999999988198
17327389,1,0.510364145036289
39341571,0,0.36373452657159616
18968660,1,0.999999999983236
12485148,3,0.6180501340864513
32705146,3,0.4855713836466093
9584565,1,0.5073706623311253
39331369,2,0.7682714616799022
16059073,3,0.5543318972094895
31253866,0,0.9999999999603087
24743446,0,0.9226826347236204
2465675,2,0.7001199470615552
4713589,3,0.7806488391076974
19216046,1,0.47365481581582897
13369009,1,0.9348874292223855
37541248,2,0.46637526712762295
36518512,2,0.9115099589079266
29408529,3,0.9020398546025016
23617898,0,0.8945630803580752
40006924,0,0.5129390114406516
39394936,0,0.5842011244916627
34352419,1,0.695169607813227
22731782,1,0.9999999999822462
19484161,2,0.9999999999902673
18352815,2,0.5193335717395754
4255854,2,0.7102606026794237
4717238,3,0.6174452458359575
38704586,0,0.7418293565021905
33572928,1,0.7669072354859706
35846053,1,0.7904579570927026
38343972,1,0.9999999999832473
39396222,2,0.8030588766150321
3842927,1,0.7495360279512646
15966537,1,0.9999999999790439
23154821,1,0.9999999999705701
23580176,0,0.9999999999784057
3489451,3,0.7325905593396705
34052977,1,0.8693974198190219
8358781,0,0.5582282540081295
5566160,0,0.620162361571386
9952655,2,0.3015335947589922
5258402,0,0.5018740662192865
35822563,2,0.999999999988433
11601629,1,0.7816901674898766
7184454,3,0.6325994770948027
23779995,2,0.9999999999920965
18767257,0,0.5158937370307004
10292057,2,0.40931840961361404
9193773,0,0.7836136586148376
15194061,1,0.8639820609542208
33452601,1,0.7016662228498176
13664861,1,0.8521347539382677
29922373,0,0.33091561271339187
28410763,2,0.43757813856383115
35006204,1,0.8015089675382002
11017984,1,0.7789388308546789
10459673,1,0.6621808154850668
36854690,3,0.5860246631269721
20129259,2,0.4335633790325227
21434728,1,0.5258450797709188
18667053,1,0.39976593835457047
39448604,1,0.8846343001090882
9852226,0,0.4870549683969116
34452680,3,0.4972244358881794
18821795,1,0.8440380136173576
10903748,1,0.826616673761586
25375057,1,0.6831585351949644
32723802,3,0.7767520097057151
16044668,2,0.5705661481528181
26770121,2,0.6845403065390884
15661231,0,0.40739000504781514
21403044,2,0.5459169757207762
18946286,0,0.9999999999706777
35625488,0,0.9999999999810317
36301179,0,0.5348714522662632
23963369,1,0.5991560607343903
21047921,1,0.9999999999784077
28677597,0,0.6721332790724377
16597396,0,0.55528352771546
19430190,0,0.5227739573918133
28085788,1,0.751287048000047
16664360,1,0.49853135941175036
8973238,0,0.4594814879819445
38343213,2,0.6712326564018877
16329869,1,0.7034836485700532
14621310,1,0.36807519130738353
27524817,1,0.45839865203295477
29029077,3,0.3453413906630586
8573464,3,0.608089095374417
28930706,2,0.5553491743136091
18486244,1,0.7036477791108973
28384690,0,0.7296739103149611
3905548,2,0.630921971407121
18689026,1,0.7565012705090092
36689898,2,0.8378978619058995
5513615,1,0.6751127820356118
14902299,1,0.7281511120841396
38579256,1,0.6199440462797909
6871686,1,0.41401121734405466
10424987,3,0.3880382314732515
33492593,1,0.9593393407533454
27440989,0,0.35200540605939246
2193009,3,0.43620099262308204
31419145,0,0.6372531208653309
30025502,1,0.964711822356047
15265319,2,0.6232480578681219
38289432,1,0.565372172987399
36697521,1,0.8902111205152553
38038700,1,0.809161131765611
35440222,0,0.9698279907621398
31400143,1,0.7866536268568863
9014056,1,0.7360220429238327
27118886,2,0.99999999998476
40027392,0,0.5506602422478334
32078763,3,0.8575262499437817
25064271,0,0.6502928608412817
19833315,0,0.5414148120082006
17202946,1,0.5673334656618336
1258199,1,0.7914550664885024
21705101,1,0.7423236921219926
29832659,1,0.6805959038458826
16816379,3,0.5699122802612897
20202639,2,0.3641164512332671
822195,1,0.5353253485784027
37467812,1,0.913185366218513
39847007,0,0.7492174766659021
11268039,2,0.6615734414888523
29621334,1,0.6522427007810457
17459700,1,0.4065587119999982
3165213,1,0.920365285446354
31473998,0,0.78277596536574
22301531,1,0.64748710936556
22787091,1,0.5600810220059873
25903242,1,0.9999999999829258
30699806,1,0.5780335953939721
34071495,1,0.5287710793995952
39128412,1,0.47282832999761076
37749111,2,0.954355259948865
14734492,1,0.4149063072622077
13167852,3,0.9388317695409912
39721813,2,0.9999999999906007
30444863,2,0.9269122628736779
28228720,1,0.7369960758415587
30016119,1,0.6905556117626334
20109487,0,0.38482985524010566
35461213,1,0.8103375208644468
17528842,1,0.8092764239496617
34133667,1,0.8368226591559327
13446989,0,0.9245136018608818
16435697,1,0.9999999999806732
12612229,3,0.8738146830894048
17412087,0,0.7121000611924081
35505498,0,0.9220443776963582
34422238,1,0.9999999999854507
27810898,0,0.5290108726213675
17229045,0,0.6107114816614209
22254151,3,0.9507704416051861
25319851,1,0.9999999999782746
20966102,0,0.46832955643829133
38117824,3,0.6851943558945003
17384485,3,0.5152956759431946
8320106,3,0.8569767845180901
39151443,1,0.9999999999778194
992136,0,0.9286290698132984
26984555,2,0.46966977683858513
24422724,1,0.48526862513957447
19693782,1,0.827579830472967
12139428,2,0.7371828517111428
24286544,1,0.7248600892570434
14863576,1,0.9999999999781019
26214245,1,0.5263369003111373
25379098,2,0.4765376082072773
9526873,0,0.7013386242388336
7385374,1,0.40199578982534945
928806,1,0.4891787771796743
3861148,1,0.450347183706561
39533524,0,0.7235999347056812
31946790,0,0.39841091390546557
32689758,1,0.7331616671953295
22946117,1,0.4778953686932045
15555589,0,0.5281934750977622
3134850,2,0.7301928243457085
10831075,0,0.6634062388887233
20629113,1,0.650256770534456
28917968,3,0.495889941531047
28999332,0,0.760140807201793
21739518,0,0.7011971494853566
18241359,0,0.6862235227180933
13010551,3,0.5404959734377253
11651188,3,0.7241763001738694
9100431,0,0.5079778525145887
34657480,0,0.6412223058444813
15898829,1,0.5224656641953969
13729394,2,0.6787335707743294
6603448,3,0.5698922613406451
4293408,1,0.6008184797694439
