Id,dominant_topic,topic_weight
28086865,1,0.8353878382224211
39663117,4,0.8422533773502333
37259168,1,0.4969490062042949
22412231,7,0.2593940175608729
25090735,2,0.6531114278090969
25279059,6,0.6101699351684856
22719224,3,0.4103874236086397
7549662,1,0.43025498605044693
28233633,0,0.40619425351826566
40091963,4,0.8836261270772717
1366274,3,0.4559668582339652
1751959,6,0.4384703254229664
11596423,2,0.37669806882843043
23042962,0,0.45539080645469476
4638806,0,0.5392016101880951
4585692,0,0.33817677400237317
39397720,2,0.29471754106681075
35880247,6,0.6546392815772425
32969757,2,0.7748205411718895
2323080,0,0.5089640211528056
32535816,0,0.391053246349688
20383151,7,0.5706460823788762
3610071,7,0.7749423470046287
13596408,6,0.8632285126092827
39970303,6,0.48292009496453764
38164587,6,0.39733647947418277
19094441,1,0.3972217098055315
26077231,4,0.35799881439256476
39066567,5,0.42707063825443
27462337,2,0.4257442467620299
22865573,7,0.24979591457146266
22739592,0,0.7775109218847336
23785155,6,0.3909480410042677
39231607,5,0.46901418702371817
39518350,2,0.5548570175061085
25571861,0,0.5856863016704259
31614866,1,0.8040427074427456
15745418,0,0.36585450709683354
15900883,2,0.6695569753524251
32023183,5,0.6511334247891895
39549494,5,0.585281009011195
38895185,2,0.7228639226572511
35792905,6,0.8085749939063694
17717282,7,0.6365657817080407
11040626,4,0.9999999999919825
36747114,7,0.26161196395981456
3695202,3,0.44752535186536135
29552575,0,0.7493619188796254
21058514,0,0.625118619278768
33769143,5,0.4418074092886976
6239042,0,0.49480904510465973
13144158,6,0.6680161613624589
34278866,3,0.5511570067724262
26080958,6,0.890858840921428
5834054,5,0.6862961448083381
25705544,1,0.32085908549232484
27542341,0,0.38785708559306276
38316294,3,0.6025197343613063
20110006,0,0.46304535384541173
33127008,0,0.7449156143463935
18596189,7,0.5711791697916303
2483840,6,0.4028995392697819
20803932,2,0.3889619060380623
4848965,7,0.5753220453559101
27056575,1,0.8059592341023749
8701419,1,0.620936397550043
4690155,0,0.8449516928898858
26673267,2,0.9179882879437072
32463870,7,0.5548170302082996
36908926,5,0.9018640206389276
19472499,0,0.45211779657129664
38780122,6,0.6245576019668542
37015876,6,0.43655970638111413
12030085,6,0.39655900441566544
29859761,7,0.5788968956003444
33753832,6,0.5739275780933694
4676973,5,0.5724842754346607
39111903,1,0.6074519865147603
27177212,0,0.3893544274473503
22108306,1,0.5027599605494832
38792077,2,0.5187307215629728
32589767,0,0.39262900350533797
3402694,0,0.440151450700862
35942081,6,0.672784848828415
26753268,1,0.38432196435684096
26487648,6,0.506506885511365
19338748,7,0.6084394391566617
19111047,5,0.43652495259340046
13980656,1,0.4511036165340927
30849351,1,0.5941524037579585
33655933,4,0.4287645383296301
13163895,1,0.37015080919924265
13356680,1,0.36420098356689634
16991754,3,0.6965432025984706
18380766,1,0.4556602706303286
5522524,3,0.4505444885827855
39521924,2,0.45518003063217666
36795424,7,0.5903573042428537
19665125,1,0.33056475784945966
33792478,4,0.5010820150863912
4054254,0,0.7399664175654888
25109001,0,0.4415612565049072
2631311,6,0.5159565397725789
843277,7,0.45936158211311534
38879470,0,0.6546139196249517
32906669,6,0.7621459384325479
23873048,0,0.4662020765393467
31350589,6,0.341893390400292
37730751,0,0.40386409952214114
11816236,3,0.5727907617581615
11376381,7,0.4035034561864322
36053881,0,0.461723318050508
13336798,7,0.5065287705244621
20298058,0,0.35694320900710996
3068408,4,0.28277296501305266
21465348,4,0.821440123672773
37066402,2,0.812444918783111
34394344,2,0.7499846158633333
36447378,5,0.26459773252140956
5075335,6,0.5417330353920862
36507334,2,0.3919576058176794
25709818,4,0.4139153394795638
35046142,5,0.7349872382831817
38591938,1,0.7649871991203598
37390827,6,0.543545041025327
32683412,7,0.3501694328247675
34880137,0,0.3103956636454434
27434689,7,0.5126661363068951
34708972,7,0.41841125899196036
7765113,2,0.6617360329165596
37864425,3,0.6939029824379506
6107905,6,0.89404098056395
39978375,0,0.3741351086552328
4968210,3,0.35005943977682175
25462305,1,0.43716518637227414
35641116,1,0.49733412358132134
36816386,3,0.8227375239336757
34683400,1,0.7732487791532231
36820171,2,0.46804779311900807
26005274,7,0.49981341648167416
38477881,5,0.4815857908325829
10639333,1,0.32257916909001183
25387745,0,0.7963059574928407
40113343,7,0.40989945698523766
29080279,0,0.4307378515992664
26615756,2,0.3917306808204782
6655724,7,0.3492216088489414
38876562,5,0.41387290222627554
33592626,6,0.6506978441225857
29144956,3,0.6632277861137086
23970227,0,0.6245425920481433
5531249,0,0.3610206267306654
35224978,0,0.4312725020785658
6650906,7,0.9174255010002693
24037441,7,0.30012669595122804
12311196,0,0.615343016774374
1056675,2,0.7715077178456773
24020720,1,0.4847948010716604
14319771,0,0.4911370753728509
5289680,2,0.7473937166480341
19919987,3,0.36307528846189424
22127346,7,0.3746369788447664
22983523,4,0.8572296112342902
10587826,0,0.3913545332996145
29581718,7,0.7576691173175302
21897420,6,0.4006751488675776
24419845,6,0.6558518458385113
28624489,2,0.7300619791233248
1693945,0,0.4738060083691303
17124199,5,0.5268240436328606
21397455,7,0.8455400693915301
16494824,2,0.44251281810923165
21436163,5,0.46140353791106337
18896682,2,0.4133308402112601
17621531,0,0.5925968982261373
36534795,4,0.4014004491809743
34381588,1,0.7874939927549214
31538738,2,0.3337813634074708
36813851,4,0.3280072045052429
17173743,1,0.5523212024214933
17327389,7,0.2838977919670568
39341571,0,0.2762980499768416
18968660,4,0.6184494848570137
12485148,3,0.45413177268320015
32705146,3,0.3584491480966981
9584565,1,0.3574400352565973
39331369,2,0.5484898861286757
16059073,3,0.3741753342067148
31253866,6,0.9132308178135842
24743446,6,0.4912993340502137
2465675,2,0.504756122505549
4713589,3,0.5745298497479074
19216046,0,0.8869959546331327
13369009,7,0.31242057378474114
37541248,5,0.3742609015633812
36518512,2,0.7540972339253232
29408529,3,0.7065386135858033
23617898,6,0.7344453483085461
40006924,0,0.6382933541894364
39394936,5,0.6265352700426657
34352419,7,0.3020044944384978
22731782,1,0.9905271871737306
19484161,2,0.8906533692983096
18352815,2,0.3792541243752984
4255854,2,0.5882759499040959
4717238,3,0.42251388529025957
38704586,6,0.6412213190612963
33572928,1,0.3158313998367185
35846053,1,0.6162992111859287
38343972,4,0.7407694554945762
39396222,2,0.650471001816326
3842927,0,0.4184712167140603
15966537,1,0.4209005743203183
23154821,7,0.44439758795960127
23580176,6,0.5665053792892085
3489451,3,0.6525631196826136
34052977,7,0.4137284127933671
8358781,0,0.5201936878365091
5566160,0,0.746905904059628
9952655,5,0.26942034971903667
5258402,0,0.4817154536094484
35822563,2,0.8841385902340575
11601629,1,0.6077602734875569
7184454,3,0.46519082350837304
23779995,2,0.9709374310794935
18767257,3,0.34394691993306065
10292057,2,0.3348755203914443
9193773,6,0.6547219819090822
15194061,1,0.34781633779599824
33452601,4,0.25862847919146076
13664861,7,0.6807654795846739
29922373,7,0.504913802323301
28410763,7,0.3911963295434508
35006204,4,0.4559818458820047
11017984,7,0.24199471870868225
10459673,7,0.3870787042022413
36854690,3,0.4809862975874351
20129259,0,0.41416029044307434
21434728,3,0.3853722890088821
18667053,7,0.5722741662601596
39448604,1,0.44882893990017586
9852226,0,0.6159260288369052
34452680,2,0.43857995694604734
18821795,1,0.736164359791364
10903748,4,0.32662514966588857
25375057,1,0.4900843478812122
32723802,3,0.644988432889933
16044668,2,0.4215862144102069
26770121,2,0.5898710095201992
15661231,0,0.4873539644532242
21403044,2,0.45686137756003536
18946286,6,0.9272691745732764
35625488,6,0.5454204332912224
36301179,6,0.5416295543259986
23963369,0,0.4760604655154967
21047921,1,0.5898813637826755
28677597,0,0.6261579840999942
16597396,0,0.7585814112278719
19430190,0,0.5330965368596441
28085788,0,0.5800033337038956
16664360,7,0.5342115169817303
8973238,7,0.7078612708150672
38343213,2,0.38126653815869666
16329869,0,0.4084489582515771
14621310,7,0.6901106486685913
27524817,5,0.3532903877099348
29029077,6,0.31739010539042384
8573464,6,0.4170888758853026
28930706,2,0.42742356514515967
18486244,1,0.3844786438717563
28384690,0,0.7529383759827969
3905548,2,0.43257256929247345
18689026,0,0.4600879982970135
36689898,2,0.6011690559780322
5513615,0,0.34304495113878425
14902299,1,0.5367364021919822
38579256,5,0.41892138561771575
6871686,0,0.450348148389944
10424987,0,0.35064529531402544
33492593,7,0.39348293670101253
27440989,7,0.3571425714338042
2193009,3,0.333341906715735
31419145,6,0.5987004908489791
30025502,1,0.9061460750211298
15265319,2,0.4835795663075763
38289432,7,0.42773020152903096
36697521,4,0.9201935132871513
38038700,1,0.41136217088119326
35440222,6,0.6711231773712275
31400143,4,0.5953298735271755
9014056,1,0.4363154351849507
27118886,2,0.9999999999865606
40027392,0,0.7607795531998927
32078763,3,0.6441771988269234
25064271,0,0.27668038452959437
19833315,6,0.49773870683550814
17202946,0,0.7859268237101572
1258199,4,0.27867582807227403
21705101,7,0.5328848069984169
29832659,4,0.37728117059154054
16816379,3,0.5021904722202291
20202639,0,0.27914789628666625
822195,0,0.5279587986818576
37467812,4,0.4619961862042392
39847007,5,0.8532196999535538
11268039,2,0.5073049448960192
29621334,7,0.45559061295230613
17459700,5,0.366641771416241
3165213,1,0.4469110734840527
31473998,6,0.8917228572699732
22301531,7,0.3175469595158094
22787091,0,0.7714045746277899
25903242,1,0.9983373526488718
30699806,0,0.49782989800181465
34071495,0,0.6692983078590539
39128412,7,0.8457680361213884
37749111,2,0.6647331894189671
14734492,7,0.2715245069407726
13167852,3,0.8123742688803811
39721813,2,0.9699597898815606
30444863,2,0.7827111108376663
28228720,4,0.341309890273103
30016119,0,0.5744950851499872
20109487,0,0.6489990499547079
35461213,4,0.6871889320927772
17528842,1,0.44192247950178415
34133667,0,0.3865114882037667
13446989,6,0.5666999061679537
16435697,4,0.6619762705220991
12612229,3,0.7814585339919368
17412087,5,0.4078549660709996
35505498,6,0.478657498137978
34422238,1,0.673081464128049
27810898,5,0.36901396833407796
17229045,5,0.5202351341484635
22254151,3,0.6385926954460849
25319851,4,0.4226904923384881
20966102,6,0.31796373683298434
38117824,3,0.5297845011221278
17384485,6,0.46716515701186306
8320106,3,0.7071415320088202
39151443,4,0.9606979264308056
992136,6,0.7340238577531669
26984555,2,0.3219956124835208
24422724,0,0.5549399521842688
19693782,7,0.8477287578897965
12139428,7,0.5172923931180158
24286544,1,0.5775525248171619
14863576,7,0.5173103135706055
26214245,3,0.3551515406799146
25379098,0,0.35657461858154604
9526873,5,0.3139829609342508
7385374,0,0.7381546750473413
928806,7,0.9234363326386483
3861148,0,0.5329583988217247
39533524,6,0.5624115760999776
31946790,7,0.586766388675217
32689758,7,0.46711676573256733
22946117,0,0.3574382283612055
15555589,5,0.4808065387935773
3134850,2,0.6270607605902716
10831075,6,0.6065519762290343
20629113,0,0.8882559353641378
28917968,5,0.36310975779986465
28999332,6,0.5779625872862526
21739518,6,0.5888565353555664
18241359,5,0.6822406389839086
13010551,3,0.397032779720342
11651188,3,0.6106330149297516
9100431,7,0.34095170258771673
34657480,6,0.3202628557368007
15898829,7,0.4639723021091964
13729394,2,0.5733820278323919
6603448,4,0.5479736604969614
4293408,1,0.3430081020010436
28862412,4,0.6003278669446501
35590796,0,0.5307468736673242
21735827,1,0.7161350213911433
23111625,3,0.3288408170830906
13093806,7,0.4561657693555283
33426634,0,0.39174553584200433
30032701,0,0.3472659122193356
15622082,2,0.4621286302032069
17819311,7,0.7381055564793211
7381998,6,0.45381471615921554
36169342,0,0.46456041328540265
22120887,0,0.4916336585566459
11850762,3,0.34647778426393977
25726289,0,0.512440724074376
13792798,7,0.42663306783359806
31657423,3,0.5115649053018467
19655688,3,0.8449458691831929
23409982,3,0.6388485603066518
23704826,0,0.42057813303959707
8535913,3,0.27356734390324366
24540431,7,0.2676594063733698
23021976,0,0.5196569511085652
7199405,2,0.47391268971685163
