creation_year,questions,percent_ever_answered,percent_answered_within_24h_among_answered,median_first_response_minutes
2008,1929,100.0,96.94142042509071,11.466666666666667
2009,12421,99.74237178971097,95.77851319719106,10.883333333333333
2010,26352,99.17653309046752,91.69695810216186,12.416666666666666
2011,40909,98.076217947151,89.70639549374408,16.35
2012,61298,96.1874775685993,88.81464018588558,16.7
2013,90303,93.22281651772366,88.09379565945619,17.466666666666665
2014,110225,90.28895441143116,87.67797751228385,22.15
2015,133331,86.45326293210131,88.1520616991559,23.966666666666665
2016,130514,77.17792727217004,89.71586847748392,24.775
