Id,dominant_topic,topic_prob
469,8,0.5249667434833497
502,3,0.27500000192667673
535,5,0.27500003165473
594,3,0.3666666700195977
683,7,0.5249999839000506
742,2,0.2750000620959592
766,0,0.5249999758838039
773,5,0.5249754016045357
972,3,0.5250000080431284
1476,0,0.5499999999958924
1734,6,0.2750000873943228
1829,5,0.36666678950581744
1854,6,0.36666676914165874
1983,8,0.5250000023923331
2311,9,0.2750000318126608
2933,0,0.2750000309220668
3061,3,0.5250000436522918
3976,4,0.27500005409552264
4942,9,0.36666667766658334
5102,0,0.36666666819976906
5136,9,0.5250000372868134
5313,2,0.27500002421883313
5415,1,0.4482586784063659
5419,9,0.5249931700932671
5909,2,0.5249999956010053
5966,0,0.2750001235593436
8154,0,0.44032502824683767
8692,9,0.6999898583332489
8948,4,0.5250000135609778
10123,7,0.699954484783588
11060,7,0.36666667758767607
12591,9,0.5249924017240517
12592,5,0.27500012792883094
13396,0,0.27500020580964385
13454,0,0.2750000383600059
13791,2,0.7749708804069014
13857,8,0.2750001266828772
13941,8,0.36666666542161624
14281,1,0.5249955946049577
14389,2,0.524976877331962
15798,3,0.36666675960283013
16067,5,0.5499999999875756
16861,9,0.5499817756225399
17250,9,0.5250000016593132
17893,0,0.27500007381833314
19030,6,0.6999651547030911
19151,0,0.5499999999936216
19339,2,0.5249769101005858
19654,0,0.27500023287201897
20063,2,0.5249999639198812
20794,3,0.2750000320120146
20927,0,0.2750001920107317
21454,7,0.5250008609340364
21934,8,0.5249667460660422
21961,8,0.36666735826770924
22059,3,0.27500021961871396
22149,3,0.275000232023665
22617,3,0.27500010177631967
22676,1,0.36665909069531144
23397,2,0.3666667149451211
23907,2,0.3666666684005454
24193,1,0.5249747633492874
24931,0,0.7749999999770474
25116,4,0.5250002693814261
25661,5,0.7749654931761087
25807,1,0.774997155186625
26595,0,0.3666666776177118
26706,0,0.1
27567,1,0.6999405833122169
28165,2,0.5249769278344373
28369,6,0.2750000070709889
28559,7,0.36666667149086923
28668,0,0.3666667970517803
28796,2,0.5249769438875318
28961,9,0.4851514127670897
29243,9,0.5249984851346655
29562,5,0.5249753919807869
29856,2,0.27500007091382117
31340,1,0.5249564197372822
32044,1,0.36665909069531144
32385,8,0.5250000168384162
32404,3,0.3666666528875128
32899,1,0.49667574724071867
33475,3,0.27500019863233516
33534,5,0.5250000033737939
33978,4,0.5249649929618808
34020,8,0.5249668327922382
34079,7,0.6999999999861561
34209,2,0.52497699940603
