Id,dominant_topic,topic_weight
28086865,1,0.7237086026949962
39663117,4,0.5478516500082777
37259168,9,0.37528773091013085
22412231,9,0.16394761361817095
25090735,2,0.6006474482773702
25279059,6,0.6344984663256446
22719224,9,0.349631270767162
7549662,1,0.3690684691177236
28233633,10,0.1978590837686836
40091963,4,0.6793018729716829
1366274,3,0.3796930359797914
1751959,6,0.3212587960859737
11596423,2,0.27016369590931266
23042962,0,0.5312133749400646
4638806,14,0.3617710731368946
4585692,11,0.3189404020082408
39397720,2,0.27294533049046593
35880247,6,0.7078588625453713
32969757,2,0.6817989051218847
2323080,10,0.36519342239078445
32535816,0,0.39916166814879667
20383151,7,0.5763963951203712
3610071,7,0.5023235661717008
13596408,11,0.8379606614373288
39970303,6,0.41543483370694245
38164587,6,0.36642696020737714
19094441,8,0.6070742868713003
26077231,4,0.3214371350689336
39066567,13,0.3498374392989939
27462337,2,0.31321188587728854
22865573,13,0.27639834294386334
22739592,14,0.9368961187190114
23785155,6,0.19427106465163568
39231607,10,0.418580159356786
39518350,2,0.4784285540547002
25571861,0,0.4358902002874364
31614866,13,0.5603024139175518
15745418,10,0.25792685674007493
15900883,2,0.42411214641232836
32023183,5,0.5500917566133351
39549494,6,0.38006532813588084
38895185,2,0.6125106449179586
35792905,6,0.42112813639266283
17717282,7,0.4358510146017635
11040626,4,0.999999999992318
36747114,7,0.28633207435014885
3695202,3,0.3127014076392891
29552575,14,0.5537319971300226
21058514,0,0.6885565394640509
33769143,9,0.38737173751091913
6239042,10,0.565548292497065
13144158,6,0.7280947959643475
34278866,3,0.48285312772094746
26080958,11,0.7347387441590322
5834054,5,0.5524742488575434
25705544,8,0.46856531574498456
27542341,0,0.3822048127742513
38316294,3,0.4372411649147994
20110006,12,0.33995472751680916
33127008,9,0.6967277064311971
18596189,12,0.48057471959526915
2483840,11,0.4120635941268179
20803932,2,0.37693440303954884
4848965,7,0.6088552892478581
27056575,1,0.5147301912854025
8701419,1,0.453631715622165
4690155,10,0.6573466374962307
26673267,2,0.7902042360125848
32463870,7,0.6097936936782037
36908926,5,0.844362263482413
19472499,7,0.42539177202000145
38780122,6,0.6918685578101167
37015876,11,0.38103818427946406
12030085,10,0.38788493794991075
29859761,12,0.5879710545598975
33753832,11,0.5619880367819373
4676973,14,0.4160655798672334
39111903,1,0.3566052368200214
27177212,10,0.43233671530918877
22108306,9,0.844608862934679
38792077,13,0.4820590936608548
32589767,12,0.21085701257073544
3402694,10,0.658259561269153
35942081,11,0.7002782715438466
26753268,8,0.7126851922375927
26487648,2,0.3595159142124419
19338748,7,0.5829687828561316
19111047,6,0.39623220399943426
13980656,9,0.47366627266980893
30849351,13,0.8329231767771836
33655933,4,0.2819909550820655
13163895,1,0.31779645892739206
13356680,9,0.5621526701361376
16991754,3,0.661256817747226
18380766,1,0.28940618596381634
5522524,11,0.34244201410004077
39521924,7,0.4402623413418969
36795424,12,0.6551436161323501
19665125,8,0.35850320039454703
33792478,14,0.40975306631225344
4054254,0,0.50337886474346
25109001,0,0.41955532278181273
2631311,14,0.5853888865908096
843277,7,0.25245189528520734
38879470,0,0.9145013976792208
32906669,11,0.5379770923769266
23873048,8,0.28103381890605295
31350589,3,0.22838990493068542
37730751,0,0.2222215457136291
11816236,10,0.5295679623365445
11376381,7,0.3266944110842137
36053881,10,0.3565339129479096
13336798,12,0.5365668130318095
20298058,0,0.2520232576929862
3068408,4,0.2634862339664016
21465348,4,0.6411720501687777
37066402,2,0.5232153982618467
34394344,2,0.4875031768447308
36447378,10,0.28868678837355954
5075335,6,0.29937904608194693
36507334,9,0.2710756521413284
25709818,8,0.5854798779069041
35046142,5,0.6051915395778938
38591938,13,0.45747650081524693
37390827,6,0.5640871096806749
32683412,0,0.23525105620533213
34880137,0,0.321876416604943
27434689,7,0.3919619325741529
34708972,5,0.29855499269082225
7765113,2,0.46874462043998427
37864425,3,0.5307415670815034
6107905,6,0.6256007051490594
39978375,0,0.33926214386849873
4968210,3,0.23813368520607914
25462305,1,0.34478962935551755
35641116,12,0.35098854575502253
36816386,3,0.6361867034214417
34683400,1,0.44413227635087016
36820171,10,0.3331851450538738
26005274,12,0.2956412740398434
38477881,5,0.3756366948541494
10639333,1,0.2017443905609511
25387745,14,0.7019404114348899
40113343,12,0.42709991575054274
29080279,14,0.2539916863154529
26615756,9,0.4551454629149886
6655724,7,0.33749374363042267
38876562,14,0.34529171879608195
33592626,6,0.6730828390463824
29144956,3,0.5467812174302316
23970227,10,0.4035944930068189
5531249,9,0.5433351888967063
35224978,0,0.3680175760965887
6650906,12,0.5131082874392326
24037441,9,0.34098870436635353
12311196,10,0.6867528148121022
1056675,2,0.5740273277743009
24020720,1,0.35377518904458305
14319771,10,0.31716152982054285
5289680,2,0.5054114031539311
19919987,3,0.3273912608730719
22127346,7,0.3151994177303345
22983523,4,0.6652269699272184
10587826,12,0.24017586018351608
29581718,12,0.6842025665845567
21897420,6,0.526820501032878
24419845,11,0.5807652089555648
28624489,2,0.6539238706459368
1693945,0,0.411722014357599
17124199,5,0.4554269838386794
21397455,12,0.44184613602407086
