K,topic,rank,term,weight
6,0,1,function,1.0062907576159432
6,0,2,python,0.9968301618101474
6,0,3,code,0.9635722253465109
6,0,4,class,0.70424541172623
6,0,5,way,0.6796098173608379
6,0,6,use,0.6784863030501955
6,0,7,like,0.6706529126833799
6,0,8,using,0.664356269195835
6,0,9,know,0.5454651164099378
6,0,10,method,0.5365929195638359
6,0,11,want,0.5208334671796859
6,0,12,work,0.519660641131425
6,0,13,does,0.5053296213930358
6,0,14,make,0.4755975236272591
6,0,15,just,0.47518741592776276
6,1,1,list,1.960654245725157
6,1,2,string,0.616698293442514
6,1,3,dictionary,0.5997663184520078
6,1,4,lists,0.5796505693408719
6,1,5,values,0.4092895276336234
6,1,6,value,0.4076819140315722
6,1,7,element,0.373496984867033
6,1,8,elements,0.35095104119335974
6,1,9,want,0.3446292696996726
6,1,10,like,0.3246921459335047
6,1,11,strings,0.29328096531477527
6,1,12,key,0.28921572260716616
6,1,13,output,0.269415305965599
6,1,14,python,0.25922032467896367
6,1,15,loop,0.2537948120157645
6,2,1,django,1.460065162842772
6,2,2,py,0.6244233506894911
6,2,3,model,0.5979613185512321
6,2,4,form,0.4974082265285265
6,2,5,user,0.4467160882575369
6,2,6,app,0.4399945069579223
6,2,7,page,0.4298303143642634
6,2,8,template,0.40538685773890487
6,2,9,view,0.4019636830712461
6,2,10,html,0.3836332121966157
6,2,11,models,0.38276480065064067
6,2,12,field,0.3695944689647816
6,2,13,views,0.3437844406596501
6,2,14,database,0.34263211966744295
6,2,15,url,0.3065058273651246
6,3,1,file,2.08122014130754
6,3,2,text,0.7784920126757957
6,3,3,files,0.731369511517393
6,3,4,text file,0.5103043438093828
6,3,5,line,0.49120747106285745
6,3,6,csv,0.47858412656976584
6,3,7,read,0.44746366195326376
6,3,8,python,0.41528135359483126
6,3,9,script,0.3973385291096102
6,3,10,output,0.3346847757633453
6,3,11,write,0.3310769909933831
6,3,12,txt,0.32915898614778955
6,3,13,data,0.3262686823350334
6,3,14,xml,0.3170412925423349
6,3,15,csv file,0.31459456540126357
6,4,1,dataframe,1.1434312987204762
6,4,2,pandas,1.136745972581557
6,4,3,column,1.0160806023239037
6,4,4,columns,0.7415423833966258
6,4,5,data,0.7216163631988554
6,4,6,values,0.5583932807355788
6,4,7,row,0.5190933200100282
6,4,8,rows,0.502554597635832
6,4,9,pandas dataframe,0.4639481342361202
6,4,10,like,0.432000798973049
6,4,11,array,0.42397706861767104
6,4,12,index,0.3657975396916031
6,4,13,numpy,0.3575622974946637
6,4,14,value,0.3411261832116313
6,4,15,want,0.2996584504272392
6,5,1,error,1.4535114683848345
6,5,2,run,0.7608803829693122
6,5,3,python,0.7607275493925432
6,5,4,following,0.5492673507673672
6,5,5,script,0.5417191526117202
6,5,6,install,0.5299157900347449
6,5,7,installed,0.5237460631718641
6,5,8,module,0.4746619231076854
6,5,9,command,0.46550336753432875
6,5,10,getting,0.4619593584959182
6,5,11,import,0.4609683237248669
6,5,12,running,0.45567685476144837
6,5,13,using,0.44195456533133637
6,5,14,trying,0.43641305896285926
6,5,15,py,0.3877986185604864
