K,silhouette_score,min_cluster_size,max_cluster_size,mean_cluster_size
4,-0.004059851635247469,3420,7475,5000.0
5,-0.015040412545204163,2933,6388,4000.0
6,-0.021527471020817757,2140,5474,3333.3333333333335
7,-0.02644764631986618,1763,5233,2857.1428571428573
8,-0.03142419084906578,1647,4494,2500.0
9,-0.03798976540565491,1513,4034,2222.222222222222
10,-0.04123407602310181,1442,4507,2000.0
