K,silhouette_score,min_cluster_size,max_cluster_size,mean_cluster_size
4,0.02335347607731819,3396,6054,5000.0
5,0.01099175214767456,2711,5310,4000.0
6,0.008963316679000854,1832,4663,3333.3333333333335
7,0.010055435821413994,1440,4325,2857.1428571428573
8,0.01103511918336153,1396,3808,2500.0
9,0.007406875491142273,1291,3078,2222.222222222222
10,0.006061009131371975,1238,2735,2000.0
